epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1420.83,0.7072,0.55109,1.18988,0.93254,0.86292,0.93534,0.7859,0.71302,0.50203,1.30286,0.005941,0.005941,0.005941
43,1619.94,0.70169,0.54946,1.18418,0.9149,0.88923,0.93439,0.78881,0.70146,0.51972,1.28652,0.005842,0.005842,0.005842
44,1822.51,0.70429,0.5527,1.18367,0.91699,0.89385,0.93296,0.7865,0.6976,0.50521,1.28877,0.005743,0.005743,0.005743
45,2022.95,0.69243,0.54278,1.17874,0.93669,0.86894,0.92977,0.7789,0.70141,0.50142,1.29302,0.005644,0.005644,0.005644
46,2221.19,0.68833,0.53568,1.17596,0.9288,0.86546,0.93633,0.78948,0.67714,0.48883,1.26738,0.005545,0.005545,0.005545
47,2423.96,0.68389,0.52527,1.17225,0.9443,0.87025,0.93696,0.78994,0.696,0.48162,1.29054,0.005446,0.005446,0.005446
48,2623.53,0.68109,0.52729,1.17134,0.9247,0.87262,0.93961,0.79461,0.679,0.49172,1.26407,0.005347,0.005347,0.005347
49,2823.32,0.67762,0.52435,1.17279,0.94042,0.8727,0.93793,0.79347,0.69168,0.48405,1.28669,0.005248,0.005248,0.005248
50,3029.14,0.6727,0.51805,1.16582,0.93695,0.87217,0.93478,0.79275,0.68629,0.49228,1.2748,0.005149,0.005149,0.005149
51,3227.86,0.6642,0.50209,1.15722,0.92148,0.87287,0.9361,0.79007,0.68164,0.49274,1.27681,0.00505,0.00505,0.00505
52,3427.55,0.66196,0.50162,1.16051,0.94143,0.86685,0.93667,0.79413,0.67651,0.46779,1.26898,0.004951,0.004951,0.004951
53,3630.54,0.66489,0.51138,1.15946,0.93148,0.8769,0.93521,0.79894,0.67347,0.46605,1.27283,0.004852,0.004852,0.004852
54,3832.31,0.68709,0.53121,1.17904,0.92736,0.88278,0.93995,0.79467,0.6889,0.46256,1.28362,0.004753,0.004753,0.004753
55,4030.21,0.68774,0.53415,1.1765,0.93609,0.86908,0.94138,0.80014,0.6757,0.46912,1.26115,0.004654,0.004654,0.004654
56,4230.16,0.67704,0.52073,1.16798,0.90655,0.90564,0.94311,0.79992,0.67187,0.4639,1.26429,0.004555,0.004555,0.004555
57,4430.63,0.67669,0.51869,1.1634,0.91268,0.89505,0.93707,0.79555,0.66626,0.46538,1.25965,0.004456,0.004456,0.004456
58,4628.24,0.67018,0.52396,1.16194,0.91281,0.8774,0.9349,0.80385,0.65979,0.48534,1.25412,0.004357,0.004357,0.004357
59,4831.49,0.66861,0.50714,1.16525,0.94384,0.87247,0.93784,0.80312,0.66611,0.46812,1.26434,0.004258,0.004258,0.004258
60,5034.74,0.6655,0.50622,1.15928,0.93361,0.873,0.93636,0.80175,0.66854,0.44866,1.27411,0.004159,0.004159,0.004159
61,5235.3,0.65959,0.5108,1.15999,0.94519,0.86021,0.94084,0.80408,0.66452,0.46053,1.25596,0.00406,0.00406,0.00406
62,5438.21,0.65706,0.50443,1.15642,0.92829,0.87587,0.94036,0.80049,0.66574,0.45049,1.26229,0.003961,0.003961,0.003961
63,5641.97,0.66028,0.49579,1.16263,0.92907,0.8766,0.9389,0.80113,0.65696,0.45551,1.25234,0.003862,0.003862,0.003862
62,208.301,0.62375,0.4594,1.13411,0.93227,0.87194,0.93694,0.80297,0.66339,0.4683,1.2587,0.003961,0.003961,0.003961
63,412.51,0.63077,0.47329,1.13638,0.92785,0.87409,0.93688,0.79965,0.66101,0.45642,1.25571,0.003862,0.003862,0.003862
64,618.656,0.63251,0.46903,1.14132,0.92369,0.88193,0.94145,0.80479,0.66588,0.43791,1.25928,0.003763,0.003763,0.003763
65,822.461,0.62112,0.45259,1.12943,0.9402,0.86761,0.93843,0.80435,0.66007,0.44795,1.25164,0.003664,0.003664,0.003664
66,1026.88,0.61841,0.45539,1.12948,0.93319,0.8808,0.93919,0.80452,0.65628,0.43848,1.25658,0.003565,0.003565,0.003565
67,1235.91,0.61776,0.45598,1.12644,0.94085,0.86978,0.9358,0.80468,0.66005,0.45002,1.26298,0.003466,0.003466,0.003466
68,1438.55,0.61042,0.43834,1.1255,0.9316,0.88529,0.93894,0.80412,0.65772,0.44345,1.26299,0.003367,0.003367,0.003367
69,1643.55,0.6074,0.44014,1.12099,0.92001,0.89552,0.93988,0.80585,0.65908,0.45449,1.25851,0.003268,0.003268,0.003268
70,1846.26,0.60906,0.44257,1.12109,0.9346,0.88151,0.93983,0.80627,0.65535,0.45418,1.25464,0.003169,0.003169,0.003169
71,2045.57,0.59837,0.43351,1.11694,0.93703,0.87751,0.94194,0.80734,0.65811,0.44752,1.26044,0.00307,0.00307,0.00307
72,2247.98,0.59465,0.42737,1.11345,0.94158,0.87488,0.94158,0.80699,0.65677,0.44239,1.25951,0.002971,0.002971,0.002971
73,2451.85,0.5883,0.41819,1.10891,0.94213,0.87504,0.94178,0.80683,0.65664,0.43903,1.26146,0.002872,0.002872,0.002872
74,2652.18,0.59077,0.42432,1.1095,0.93074,0.88612,0.94134,0.80665,0.6583,0.42849,1.26301,0.002773,0.002773,0.002773
75,2856.23,0.58237,0.41627,1.1098,0.94112,0.87804,0.9434,0.81059,0.65872,0.42189,1.26282,0.002674,0.002674,0.002674
76,3058.08,0.57928,0.41272,1.1048,0.93788,0.87699,0.94279,0.80764,0.65509,0.42914,1.25593,0.002575,0.002575,0.002575
77,3255.57,0.56893,0.40129,1.09594,0.93606,0.88183,0.94131,0.80801,0.65439,0.43487,1.25116,0.002476,0.002476,0.002476
